,image,words,OCR_score
28,among (26).jpg,"[['hakuna', 'matata', 'kk'], [0.9994682669639587, 0.9985893368721008, 0.9925178289413452]]",0.2496473342180252
143,among (153).jpg,"[['i mvery good', 'at the hit game', 'among us', 'ifyou don tlikeit', 'leave', 'ilove my wife sheis never', 'sus', 'which is a reference to the hit game', 'amongus', 'aiak002 270821store'], [0.94119793176651, 0.936653733253479, 0.9419116973876953, 0.9559805393218994, 0.9981926679611206, 0.9413354396820068, 0.9393863081932068, 0.9322216510772705, 0.9965163469314575, 0.9737657308578491]]",0.24912908673286438
150,among (154).jpg,"[['fishing', 'for', 'trouble', 'surf son', 'dinosaur expert'], [0.9790245890617371, 0.9956991076469421, 0.990321934223175, 0.9680812954902649, 0.9700075387954712]]",0.24892477691173553
52,among (42).jpg,"[['j', 'tiktok', 'tiktok', 'tiktok', 'tuktok'], [0.7902573347091675, 0.9817394614219666, 0.9883920550346375, 0.9772033095359802, 0.7978801131248474]]",0.24709801375865936
37,among (46).jpg,"[['sorry', 'not', 'sorry'], [0.99749755859375, 0.9855239987373352, 0.9968957901000977]]",0.2463809996843338
127,among (139).jpg,"[['rmongus', 'amongus', 'shhh ', 'rmongu', 'amongus'], [0.929949164390564, 0.9510308504104614, 0.9831622838973999, 0.9139837622642517, 0.9424087405204773]]",0.23775771260261536
65,among (70).jpg,"[['i wantyou'], [0.9405112862586975]]",0.23512782156467438
133,among (145).jpg,"[['quishy', 'my', 'little', 'dumplings', 'dart ', 'pop'], [0.6425198316574097, 0.7782922387123108, 0.985401451587677, 0.9447288513183594, 0.8889356851577759, 0.9041375517845154]]",0.22603438794612885
106,among (112).jpg,"[['troblox', 'blo', 'reblox', 'ble', 'ble', 'koblex', 'blo', 'trobiox'], [0.8712356686592102, 0.8618263602256775, 0.7283857464790344, 0.6278008818626404, 0.6696246266365051, 0.8234063982963562, 0.7151179313659668, 0.7831249833106995]]",0.21780891716480255
108,among (109).jpg,"[['zogaa', '20omoma', 'snonowy', 'amongus'], [0.9941757321357727, 0.725549042224884, 0.5773345828056335, 0.8632603287696838]]",0.21581508219242096
3,among (8).jpg,"[['oooogo', '00000o00000g', '00000000000', '000000000', '0000000000', 'x'], [0.7743996977806091, 0.517869770526886, 0.5357002019882202, 0.6638008952140808, 0.7335702180862427, 0.511985182762146]]",0.19359992444515228
88,among (19).jpg,"[['mong', 'whoisit', 'nol711'], [0.5605505704879761, 0.7621965408325195, 0.6848601698875427]]",0.14013764262199402
116,among (130).jpg,"[[' studio', 'r', 'diy', 'plushcraft', 'unicorn', 'product', 'information'], [0.9793307185173035, 0.9925389885902405, 0.974532425403595, 0.9704837799072266, 0.9830576777458191, 0.997674822807312, 0.9963328838348389]]",0.124709352850914
51,among (68).jpg,"[['vwomc n2', 'among us', 'among us f'], [0.664569616317749, 0.997343897819519, 0.8648806810379028]]",0.12466798722743988
149,among (151).jpg,"[['happy', 'rew'], [0.9967246055603027, 0.9716668725013733]]",0.12459057569503784
25,among (58).jpg,"[['no 1'], [0.9950379133224487]]",0.12437973916530609
24,among (59).jpg,"[['no 1'], [0.9950379133224487]]",0.12437973916530609
98,among (104).jpg,"[[' gency', 'eting', 'sabotage'], [0.946749210357666, 0.9936251640319824, 0.9936677813529968]]",0.1242084726691246
12,among (17).jpg,"[['vwonc n2', 'among us'], [0.6565366387367249, 0.9886454343795776]]",0.1235806792974472
86,among (91).jpg,"[['vwonc n2', 'among us'], [0.6565366387367249, 0.9886454343795776]]",0.1235806792974472
2,among (5).jpg,"[['vwoud n2', 'among us'], [0.8206091523170471, 0.9804945588111877]]",0.12256181985139847
15,among (20).jpg,"[['vwona n2', 'among us'], [0.8008106350898743, 0.9791303873062134]]",0.12239129841327667
96,among (100).jpg,"[['vwomc n2', 'among us'], [0.8064183592796326, 0.9722193479537964]]",0.12152741849422455
34,among (64).jpg,"[['vwonc n2', 'among us'], [0.6445852518081665, 0.9618104100227356]]",0.12022630125284195
36,among (65).jpg,"[['vwonc n2', 'among us'], [0.6445852518081665, 0.9618104100227356]]",0.12022630125284195
46,among (57).jpg,"[['vwon  n2', 'among us'], [0.8000211119651794, 0.9594056606292725]]",0.11992570757865906
48,among (56).jpg,"[['vwon  n2', 'among us'], [0.8000211119651794, 0.9594056606292725]]",0.11992570757865906
102,among (108).jpg,"[['vwon  n2', 'among us'], [0.8000211119651794, 0.9594056606292725]]",0.11992570757865906
4,among (6).jpg,"[['0000', '10', 'surf son', 'sees'], [0.676233172416687, 0.9882638454437256, 0.9580705165863037, 0.5214748382568359]]",0.11975881457328796
82,among (87).jpg,"[['among us'], [0.9494819641113281]]",0.11868524551391602
22,among (28).jpg,"[['vwonq n2', 'among us', 'among us'], [0.7232691049575806, 0.9359890818595886, 0.933607816696167]]",0.11699863523244858
125,among (134).jpg,"[['among us'], [0.928850531578064]]",0.116106316447258
148,among (2).jpg,"[['14cm', 'face chonging', '10cm', ' ', 'cf'], [0.9997420907020569, 0.9125671982765198, 0.9978824853897095, 0.8584418296813965, 0.6798425912857056]]",0.11602026969194412
110,among (102).jpg,"[['cm 0 ', '7cm 0 21 '], [0.9128835797309875, 0.9714372158050537]]",0.11411044746637344
139,among (140).jpg,"[['tam0014', 'among us'], [0.9992346167564392, 0.8978239297866821]]",0.11222799122333527
72,among (77).jpg,"[['tam0014', 'among us'], [0.9992346167564392, 0.8978239297866821]]",0.11222799122333527
128,among (141).jpg,"[['tam0014', 'among us'], [0.9992346167564392, 0.8978239297866821]]",0.11222799122333527
113,among (122).jpg,"[['l m your fabher', '00000', 'rimong us', 'xvamafn', 'ncus', 'definitely ', 'te him'], [0.7917531132698059, 0.9676214456558228, 0.8005898594856262, 0.5310739278793335, 0.8746853470802307, 0.9764142632484436, 0.8187909126281738]]",0.10933566838502884
26,among (24).jpg,"[['among us'], [0.8695414662361145]]",0.10869268327951431
29,among (36).jpg,"[['among us'], [0.8695414662361145]]",0.10869268327951431
120,among (131).jpg,"[['changing', 'face', 'face changing', 'chonging', 'foce', 'chenqine', 'chengine', 'face', 'face'], [0.9229522943496704, 0.8319052457809448, 0.9297614693641663, 0.9058713912963867, 0.8385202288627625, 0.8429391384124756, 0.8684793710708618, 0.8997333645820618, 0.8413920998573303]]",0.1048150286078453
41,among (34).jpg,"[['2022', 'hilp', '2022', 'e', 'afillp', '2022', 'qimi baby store'], [0.99513179063797, 0.6817315816879272, 0.9981729388237, 0.6324921250343323, 0.5989806056022644, 0.9945234656333923, 0.9318339228630066]]",0.10191656649112701
31,among (45).jpg,"[['among us', 'apmong'], [0.7860844135284424, 0.7789368033409119]]",0.0982605516910553
100,among (103).jpg,"[['guia deluniverso', 'reblox'], [0.942918598651886, 0.7130433917045593]]",0.08913042396306992
21,among (47).jpg,"[['rrr'], [0.6861556172370911]]",0.08576945215463638
38,among (66).jpg,"[['ik', 'tigcrnu', 'tigernu'], [0.6747934222221375, 0.856564998626709, 0.8604717254638672]]",0.08434917777776718
17,among (14).jpg,"[['4 14', 'fat72', '31 5', 'store no  912613465'], [0.8721485137939453, 0.6151096224784851, 0.6216925382614136, 0.9810060262680054]]",0.07688870280981064
145,among (156).jpg,"[['smang'], [0.6139713525772095]]",0.07674641907215118
16,among (11).jpg,"[[], []]",0.0
18,among (22).jpg,"[[], []]",0.0
67,among (73).jpg,"[[], []]",0.0
66,among (72).jpg,"[[], []]",0.0
30,among (41).jpg,"[[], []]",0.0
35,among (43).jpg,"[['14cm', '10cm', 'face changing', ' '], [0.9997379779815674, 0.9998781085014343, 0.991981565952301, 0.9384583234786987]]",0.0
32,among (29).jpg,"[[], []]",0.0
33,among (33).jpg,"[[], []]",0.0
53,among (69).jpg,"[[], []]",0.0
40,among (38).jpg,"[['face changing'], [0.9887158274650574]]",0.0
23,among (30).jpg,"[[], []]",0.0
44,among (50).jpg,"[[], []]",0.0
